agno|fecha_bbdd|codigo_bbdd|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_deprov_rbd|cod_com_rbd|nom_com_rbd|nom_deprov_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect2m_rbd|nalu_mate2m_rbd|nalu_soc2m_rbd|prom_lect2m_rbd|prom_mate2m_rbd|prom_soc2m_rbd|dif_lect2m_rbd|dif_mate2m_rbd|dif_soc2m_rbd|difgru_lect2m_rbd|difgru_mate2m_rbd|difgru_soc2m_rbd|sigdif_lect2m_rbd|sigdif_mate2m_rbd|sigdif_soc2m_rbd|siggru_lect2m_rbd|siggru_mate2m_rbd|siggru_soc2m_rbd|marca_lect2m_rbd|marca_mate2m_rbd|marca_soc2m_rbd|marcadif_lect2m_rbd|marcadif_mate2m_rbd|palu_eda_ins_lect2m_rbd|palu_eda_ele_lect2m_rbd|palu_eda_ade_lect2m_rbd|palu_eda_ins_mate2m_rbd|palu_eda_ele_mate2m_rbd|palu_eda_ade_mate2m_rbd|marcapalu_eda_lect2m_rbd|marcapalu_eda_mate2m_rbd|noaplica
2015|20170208|final20170208v1|2m|1|9|LICEO POLITECNICO ARICA|15|ARICA Y PARINACOTA|1|ARICA|1|1|ARICA|ARICA|Municipal DAEM|Municipal|Bajo|Urbano|79|76|74|195|189|206|-15|-13||-29|-30|-17|Negativa y significativa|No significativa||Negativa y significativa|Negativa y significativa|Negativa y significativa||||||97.5|2.5|0|94.699997|5.3000002|0|||Rbd y curso rinde Simce
2015|20170208|final20170208v1|2m|4|3|LICEO OCTAVIO PALMA PEREZ|15|ARICA Y PARINACOTA|1|ARICA|1|1|ARICA|ARICA|Municipal DAEM|Municipal|Medio|Urbano|255|267|266|274|285|252||||16|5|-9||||Positiva y significativa|Positiva y significativa|Negativa y significativa||||Evaluación actual no permite comparar|Evaluación actual no permite comparar|30.6|37.299999|32.200001|24.299999|48.700001|27|||Rbd y curso rinde Simce
2015|20170208|final20170208v1|2m|5|1|JOVINA NARANJO FERNANDEZ|15|ARICA Y PARINACOTA|1|ARICA|1|1|ARICA|ARICA|Municipal DAEM|Municipal|Medio|Urbano|99|96|95|261|277|253||-25||3|-3|-8||Negativa y significativa||No significativa|No significativa|Negativa y significativa||||Evaluación actual no permite comparar||41.400002|34.299999|24.200001|28.1|52.099998|19.799999|||Rbd y curso rinde Simce
2015|20170208|final20170208v1|2m|7|8|L. POLI. ANTONIO VARAS DE LA BARRA|15|ARICA Y PARINACOTA|1|ARICA|1|1|ARICA|ARICA|Municipal DAEM|Municipal|Bajo|Urbano|169|147|143|206|197|201||||-18|-22|-22||||Negativa y significativa|Negativa y significativa|Negativa y significativa||||Evaluación actual no permite comparar|Evaluación actual no permite comparar|88.199997|10.1|1.8|91.199997|8.8000002|0|||Rbd y curso rinde Simce
2015|20170208|final20170208v1|2m|8|6|COLEGIO INTEGRADO EDUARDO FREI MONTALVA|15|ARICA Y PARINACOTA|1|ARICA|1|1|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|48|39|40|201|195|220||||-36|-49|-17||||Negativa y significativa|Negativa y significativa|Negativa y significativa||2|2|Evaluación actual no permite comparar|Evaluación anterior no permite comparar|91.699997|6.3000002|2.0999999|79.5|20.5|0|||Rbd y curso rinde Simce
2015|20170208|final20170208v1|2m|15|9|LICEO ARTISTICO DR. JUAN NOE CREVANI|15|ARICA Y PARINACOTA|1|ARICA|1|1|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|32|30|30|241|195|231||||4|-49|-6||||No significativa|Negativa y significativa|No significativa||||Evaluación actual no permite comparar|Evaluación actual no permite comparar|59.400002|28.1|12.5|86.699997|13.3|0|||Rbd y curso rinde Simce
2015|20170208|final20170208v1|2m|25|6|COLEGIO CENTENARIO DE ARICA|15|ARICA Y PARINACOTA|1|ARICA|1|1|ARICA|ARICA|Municipal DAEM|Municipal|Bajo|Urbano|8|7|7|216|222|220||||-8|3|-3||||No significativa|No significativa|No significativa||2|2|Evaluación actual no permite comparar|Evaluación anterior no permite comparar|||||||Alumnos insuficientes (N<10)|Alumnos insuficientes (N<10)|Rbd y curso rinde Simce
2015|20170208|final20170208v1|2m|32|9|LICEO AGRICOLA JOSE ABELARDO NUNEZ M.|15|ARICA Y PARINACOTA|1|ARICA|1|1|ARICA|ARICA|Municipal DAEM|Municipal|Bajo|Rural|23|23|23|225|195|217|-3|||1|-24|-6|No significativa|||No significativa|Negativa y significativa|No significativa|||||Evaluación actual no permite comparar|69.599998|21.700001|8.6999998|91.300003|8.6999998|0|||Rbd y curso rinde Simce
2015|20170208|final20170208v1|2m|45|0|COLEGIO ITALIANO SANTA ANA|15|ARICA Y PARINACOTA|1|ARICA|1|1|ARICA|ARICA|Particular subvencionado|Particular subvencionado|Medio|Urbano|58|58|57|284|293|262|2|-2||26|13|1|No significativa|No significativa||Positiva y significativa|Positiva y significativa|No significativa||||||15.5|44.799999|39.700001|17.200001|55.200001|27.6|||Rbd y curso rinde Simce
2015|20170208|final20170208v1|2m|50|7|COLEGIO ADVENTISTA DE ARICA|15|ARICA Y PARINACOTA|1|ARICA|1|1|ARICA|ARICA|Particular subvencionado|Particular subvencionado|Medio|Urbano|42|40|40|270|304|259|2|-21||12|24|-2|No significativa|Negativa y significativa||Positiva y significativa|Positiva y significativa|No significativa||||||23.799999|61.900002|14.3|22.5|40|37.5|||Rbd y curso rinde Simce
