agno|codigo_bbdd|fecha_bbdd|grado|cod_reg|nom_reg|nalu_lect2m_reg|nalu_mate2m_reg|nalu_soc2m_reg|prom_lect2m_reg|prom_mate2m_reg|prom_soc2m_reg|dif_lect2m_reg|dif_mate2m_reg|dif_soc2m_reg|sigdif_lect2m_reg|sigdif_mate2m_reg|sigdif_soc2m_reg|palu_eda_ins_lect2m_reg|palu_eda_ele_lect2m_reg|palu_eda_ade_lect2m_reg|palu_eda_ins_mate2m_reg|palu_eda_ele_mate2m_reg|palu_eda_ade_mate2m_reg
2015|final20170111v1|20170111|2m|1|REGIÓN DE TARAPACÁ|3647|3736|3734|242|254|245|-5|-4||No significativa|No significativa||57|27.6|15.4|50.099998|32|17.9
2015|final20170111v1|20170111|2m|2|REGIÓN DE ANTOFAGASTA|7071|7208|7162|243|254|244|-11|-12||Negativa y significativa|Negativa y significativa||56.099998|26.299999|17.6|49.700001|31.6|18.700001
2015|final20170111v1|20170111|2m|3|REGIÓN DE ATACAMA|3312|3365|3359|236|241|237|-12|-18||Negativa y significativa|Negativa y significativa||61.900002|23.200001|14.9|58.700001|28.1|13.3
2015|final20170111v1|20170111|2m|4|REGIÓN DE COQUIMBO|8518|8576|8573|250|261|250|-3|-7||No significativa|Negativa y significativa||50.599998|28.6|20.799999|45|34.599998|20.4
2015|final20170111v1|20170111|2m|5|REGIÓN DE VALPARAÍSO|19290|19638|19656|248|264|251|-4|2||No significativa|No significativa||51.400002|29|19.700001|42.900002|35.900002|21.299999
2015|final20170111v1|20170111|2m|6|REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS|10495|10673|10698|250|259|249|-3|1||No significativa|No significativa||49.900002|29.200001|20.9|47.200001|33.700001|19.1
2015|final20170111v1|20170111|2m|7|REGIÓN DEL MAULE|11949|12156|12144|250|262|249|-2|3||No significativa|No significativa||51.400002|27.9|20.799999|46|34.099998|19.9
2015|final20170111v1|20170111|2m|8|REGIÓN DEL BIOBÍO|22741|23405|23274|245|258|246|-7|-8||Negativa y significativa|Negativa y significativa||55|26.6|18.299999|47.900002|33.299999|18.799999
2015|final20170111v1|20170111|2m|9|REGIÓN DE LA ARAUCANÍA|11530|11780|11743|243|246|244|-1|-7||No significativa|Negativa y significativa||56.700001|26.700001|16.6|55.299999|30.9|13.8
2015|final20170111v1|20170111|2m|10|REGIÓN DE LOS LAGOS|9576|9997|9983|247|255|246|-7|-9||Negativa y significativa|Negativa y significativa||53.400002|28.6|18.1|49.400002|34.400002|16.200001
2015|final20170111v1|20170111|2m|11|REGIÓN DE AISÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO|1067|1082|1083|245|263|255|-6|-2||No significativa|No significativa||54.5|28.1|17.299999|41.299999|39.200001|19.5
2015|final20170111v1|20170111|2m|12|REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA|1742|1813|1806|241|254|242|-14|-10||Negativa y significativa|Negativa y significativa||58.799999|24.5|16.700001|49.099998|34.5|16.4
2015|final20170111v1|20170111|2m|13|REGIÓN METROPOLITANA|74811|76367|76217|248|269|254|-5|0||No significativa|No significativa||52.299999|27|20.700001|40|34.599998|25.299999
2015|final20170111v1|20170111|2m|14|REGIÓN DE LOS RÍOS|4440|4498|4474|252|255|248|-2|3||No significativa|No significativa||48.900002|29.1|22|49.299999|34.700001|16
2015|final20170111v1|20170111|2m|15|REGIÓN ARICA - PARINACOTA|2474|2479|2465|248|260|244|0|2||No significativa|No significativa||50.599998|29.9|19.5|43|38.299999|18.799999
