agno|codigo_bbdd|fecha_bbdd|grado|cod_reg|nom_reg|cod_deprov|nom_deprov|prom_lect2m_deprov|prom_mate2m_deprov|prom_nat2m_deprov|dif_lect2m_deprov|dif_mate2m_deprov|dif_nat2m_deprov|sigdif_lect2m_deprov|sigdif_mate2m_deprov|sigdif_nat2m_deprov
2016|final20171024v1|20171024|2m|1|REGIÓN DE TARAPACÁ|11|IQUIQUE|243|260|236|-1|3|-5|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|2m|1|REGIÓN DE TARAPACÁ|14|TAMARUGAL|218|217|209|0|12|2|No significativa|Positiva y significativa|No significativa
2016|final20171024v1|20171024|2m|2|REGIÓN DE ANTOFAGASTA|21|ANTOFAGASTA|241|253|234|2|4|-11|No significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|2|REGIÓN DE ANTOFAGASTA|22|EL LOA|258|272|244|5|7|-6|No significativa|Positiva y significativa|No significativa
2016|final20171024v1|20171024|2m|3|REGIÓN DE ATACAMA|31|COPIAPÓ - CHAÑARAL|237|247|231|1|5|-12|No significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|3|REGIÓN DE ATACAMA|32|HUASCO|243|240|229|5|3|-7|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|2m|4|REGIÓN DE COQUIMBO|41|ELQUI|250|270|245|0|4|-9|No significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|4|REGIÓN DE COQUIMBO|42|LIMARÍ|252|259|238|0|4|-5|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|2m|4|REGIÓN DE COQUIMBO|43|CHOAPA|241|238|232|3|6|-2|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|2m|5|REGIÓN DE VALPARAÍSO|51|QUILLOTA - PETORCA|246|260|238|1|3|-5|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|2m|5|REGIÓN DE VALPARAÍSO|52|SAN FELIPE - LOS ANDES|250|257|238|3|2|-4|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|2m|5|REGIÓN DE VALPARAÍSO|53|VALPARAÍSO|249|273|245|0|4|-10|No significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|5|REGIÓN DE VALPARAÍSO|54|SAN ANTONIO|246|252|232|-4|-1|-10|No significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|6|REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS|61|CACHAPOAL|250|266|245|2|6|-3|No significativa|Positiva y significativa|No significativa
2016|final20171024v1|20171024|2m|6|REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS|62|COLCHAGUA|252|265|240|-3|4|-9|No significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|6|REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS|63|CARDENAL CARO|246|255|238|2|13|0|No significativa|Positiva y significativa|No significativa
2016|final20171024v1|20171024|2m|7|REGIÓN DEL MAULE|71|CURICÓ|256|272|244|-1|3|-3|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|2m|7|REGIÓN DEL MAULE|72|TALCA|246|262|239|-2|2|-7|No significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|7|REGIÓN DEL MAULE|73|LINARES|248|261|242|0|2|-6|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|2m|7|REGIÓN DEL MAULE|74|CAUQUENES|238|239|228|-4|-2|-7|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|2m|8|REGIÓN DEL BIOBÍO|81|ÑUBLE|251|264|240|1|5|-7|No significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|8|REGIÓN DEL BIOBÍO|82|BIOBÍO|246|255|237|0|3|-9|No significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|8|REGIÓN DEL BIOBÍO|83|CONCEPCIÓN|243|268|242|1|4|-12|No significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|8|REGIÓN DEL BIOBÍO|84|ARAUCO|239|248|230|-2|5|-9|No significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|9|REGIÓN DE LA ARAUCANÍA|91|MALLECO|241|243|229|1|5|-6|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|2m|9|REGIÓN DE LA ARAUCANÍA|92|CAUTÍN NORTE|246|258|240|2|7|-5|No significativa|Positiva y significativa|No significativa
2016|final20171024v1|20171024|2m|9|REGIÓN DE LA ARAUCANÍA|93|CAUTÍN SUR|245|250|235|3|6|-4|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|2m|10|REGIÓN DE LOS LAGOS|101|LLANQUIHUE|241|260|236|-4|6|-10|No significativa|Positiva y significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|10|REGIÓN DE LOS LAGOS|102|CHILOÉ|243|256|232|-2|3|-9|No significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|10|REGIÓN DE LOS LAGOS|103|OSORNO|247|263|239|-4|7|-7|No significativa|Positiva y significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|10|REGIÓN DE LOS LAGOS|104|PALENA|241|246|239|10|15|-5|No significativa|Positiva y significativa|No significativa
2016|final20171024v1|20171024|2m|11|REGIÓN DE AISÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO|111|COYHAIQUE|244|262|239|-1|-1|-11|No significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|12|REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA|121|MAGALLANES|242|259|238|1|5|-14|No significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|13|REGIÓN METROPOLITANA|131|SANTIAGO CENTRO|247|274|245|1|3|-11|No significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|13|REGIÓN METROPOLITANA|132|SANTIAGO SUR|240|258|236|-2|4|-4|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|2m|13|REGIÓN METROPOLITANA|133|SANTIAGO ORIENTE|265|304|272|1|4|-8|No significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|13|REGIÓN METROPOLITANA|134|SANTIAGO PONIENTE|244|267|240|0|2|-5|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|2m|13|REGIÓN METROPOLITANA|135|TALAGANTE|240|253|234|0|0|-5|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|2m|13|REGIÓN METROPOLITANA|136|CORDILLERA|247|269|244|2|4|-5|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|2m|13|REGIÓN METROPOLITANA|137|SANTIAGO NORTE|246|267|241|-1|5|-4|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|2m|14|REGIÓN DE LOS RÍOS|141|VALDIVIA|249|254|239|-1|1|-6|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|2m|14|REGIÓN DE LOS RÍOS|142|RANCO|251|257|232|-8|-1|-9|Negativa y significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|15|REGIÓN ARICA - PARINACOTA|151|ARICA|244|262|237|-4|1|-4|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|2m|15|REGIÓN ARICA - PARINACOTA|152|PARINACOTA|235|202|209|3|9|-6|No significativa|No significativa|No significativa
