agno|fecha_bbdd|codigo_bbdd|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|nom_deprov_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect2m_rbd|nalu_mate2m_rbd|nalu_nat2m_rbd|prom_lect2m_rbd|prom_mate2m_rbd|prom_nat2m_rbd|dif_lect2m_rbd|dif_mate2m_rbd|dif_nat2m_rbd|difgru_lect2m_rbd|difgru_mate2m_rbd|difgru_nat2m_rbd|sigdif_lect2m_rbd|sigdif_mate2m_rbd|sigdif_nat2m_rbd|siggru_lect2m_rbd|siggru_mate2m_rbd|siggru_nat2m_rbd|marca_lect2m_rbd|marca_mate2m_rbd|marca_nat2m_rbd|marcadif_lect2m_rbd|marcadif_mate2m_rbd|marcadif_nat2m_rbd|palu_eda_ins_lect2m_rbd|palu_eda_ele_lect2m_rbd|palu_eda_ade_lect2m_rbd|palu_eda_ins_mate2m_rbd|palu_eda_ele_mate2m_rbd|palu_eda_ade_mate2m_rbd|noaplica
2016|20171024|final20171024v1|2m|1|9|LICEO POLITECNICO ARICA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Bajo|Urbano|85|96|90|190|198|208|-5|9|-6|-33|-24|-7|No significativa|No significativa|No significativa|Negativa y significativa|Negativa y significativa|No significativa||Ajenas al Establecimiento: Resultados no representativos|Ajenas al Establecimiento: Resultados no representativos||Con marca en esta medición: No representativa|Con marca en esta medición: No representativa|92.90000000000001|5.9|1.2|87.5|11.5|1|Rbd y curso rinde Simce
2016|20171024|final20171024v1|2m|4|3|LICEO OCTAVIO PALMA PEREZ|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|219|231|229|261|280|247|-13|-5||25|32|20|Negativa y significativa|No significativa|No significativa|Positiva y significativa|Positiva y significativa|Positiva y significativa||||||Con marca medición anterior: No reporte|38.4|33.3|28.3|29.9|41.1|29|Rbd y curso rinde Simce
2016|20171024|final20171024v1|2m|5|1|JOVINA NARANJO FERNANDEZ|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio|Urbano|104|113|110|239|276|248|-22|-1|-21|-20|-7|-3|Negativa y significativa|No significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa|No significativa|||||||56.7|28.8|14.4|28.3|53.1|18.6|Rbd y curso rinde Simce
2016|20171024|final20171024v1|2m|7|8|L. POLI. ANTONIO VARAS DE LA BARRA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Bajo|Urbano|248|246|248|219|213|208|13|16||-4|-9|-7|Positiva y significativa|Positiva y significativa|No significativa|No significativa|Negativa y significativa|Negativa y significativa||||||Con marca medición anterior: No reporte|76.2|17.3|6.5|76.8|20.7|2.4|Rbd y curso rinde Simce
2016|20171024|final20171024v1|2m|8|6|COLEGIO INTEGRADO EDUARDO FREI MONTALVA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|75|77|76|220|225|209|19|||-16|-23|-18|Positiva y significativa|No significativa|No significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa|||||Con marca medición anterior: No reporte|Con marca medición anterior: No reporte|77.3|16|6.7|75.3|22.1|2.6|Rbd y curso rinde Simce
2016|20171024|final20171024v1|2m|15|9|LICEO ARTISTICO DR. JUAN NOE CREVANI|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|16|20|18|217|228|215|-24|33|0|-19|-20|-12|Negativa y significativa|Positiva y significativa|No significativa|Negativa y significativa|Negativa y significativa|No significativa|Ajenas a la Agencia: Resultados no representativos|Ajenas a la Agencia: Resultados no representativos|Ajenas a la Agencia: Resultados no representativos|Con marca en esta medición: No representativa|Con marca en esta medición: No representativa|Con marca en esta medición: No representativa|68.8|25|6.3|65|35|0|Rbd y curso rinde Simce
2016|20171024|final20171024v1|2m|25|6|COLEGIO CENTENARIO DE ARICA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|27|28|28|211|192|220|-5|||-25|-56|-7|No significativa|No significativa|No significativa|Negativa y significativa|Negativa y significativa|No significativa|||||Con marca medición anterior: No reporte|Con marca medición anterior: No reporte|81.5|14.8|3.7|89.3|10.7|0|Rbd y curso rinde Simce
2016|20171024|final20171024v1|2m|32|9|LICEO AGRICOLA JOSE ABELARDO NUNEZ M.|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Bajo|Rural|27|25|24|223|177|213|-2|-18||0|-45|-2|No significativa|No significativa|No significativa|No significativa|Negativa y significativa|No significativa||||||Con marca medición anterior: No reporte|81.5|14.8|3.7|96|4|0|Rbd y curso rinde Simce
2016|20171024|final20171024v1|2m|45|0|COLEGIO ITALIANO SANTA ANA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular subvencionado|Particular subvencionado|Medio|Urbano|55|54|54|263|274|247|-21|-19|-15|4|-9|-4|Negativa y significativa|Negativa y significativa|No significativa|No significativa|Negativa y significativa|No significativa|||||||32.7|45.5|21.8|27.8|55.6|16.7|Rbd y curso rinde Simce
2016|20171024|final20171024v1|2m|50|7|COLEGIO ADVENTISTA DE ARICA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular subvencionado|Particular subvencionado|Medio|Urbano|45|45|43|285|309|256|15|5|-7|26|26|5|Positiva y significativa|No significativa|No significativa|Positiva y significativa|Positiva y significativa|No significativa|||||||22.2|31.1|46.7|11.1|51.1|37.8|Rbd y curso rinde Simce
2016|20171024|final20171024v1|2m|52|3|LICEO DOMINGO SANTA MARIA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular subvencionado|Particular subvencionado|Medio bajo|Urbano|345|353|353|260|289|244|-4|12|9|24|41|17|No significativa|Positiva y significativa|No significativa|Positiva y significativa|Positiva y significativa|Positiva y significativa|||||||40.3|37.7|22|21.5|48.4|30|Rbd y curso rinde Simce
2016|20171024|final20171024v1|2m|56|6|COLEGIO SAN MARCOS DE ARICA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular subvencionado|Particular subvencionado|Medio alto|Urbano|68|71|71|295|323|293|2|5|-9|24|14|21|No significativa|No significativa|No significativa|Positiva y significativa|Positiva y significativa|Positiva y significativa|||||||13.2|32.4|54.4|11.3|31|57.7|Rbd y curso rinde Simce
2016|20171024|final20171024v1|2m|59|0|COLEGIO SAN JORGE|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular pagado|Particular pagado|Alto|Urbano|31|35|35|285|309|264|10|-8|-27|3|-23|-32|No significativa|No significativa|Negativa y significativa|No significativa|Negativa y significativa|Negativa y significativa|||||||32.3|19.4|48.4|8.6|45.7|45.7|Rbd y curso rinde Simce
2016|20171024|final20171024v1|2m|60|4|COLEGIO ALEMAN DE ARICA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular subvencionado|Particular subvencionado|Medio alto|Urbano|42|42|42|228|307|252|2|24|10|-43|-2|-20|No significativa|Positiva y significativa|No significativa|Negativa y significativa|No significativa|Negativa y significativa|||||||64.3|31|4.8|11.9|42.9|45.2|Rbd y curso rinde Simce
2016|20171024|final20171024v1|2m|67|1|ABRAHAM LINCOLN SCHOOL|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular subvencionado|Particular subvencionado|Medio alto|Urbano|23|23|23|255|278|275|-11|-6|-14|-16|-31|3|No significativa|No significativa|No significativa|Negativa y significativa|Negativa y significativa|No significativa|||||||39.1|39.1|21.7|21.7|65.2|13|Rbd y curso rinde Simce
2016|20171024|final20171024v1|2m|69|8|JUNIOR COLLEGE|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular pagado|Particular pagado|Alto|Urbano|49|48|49|299|343|303|15|3|-19|17|11|7|Positiva y significativa|No significativa|Negativa y significativa|Positiva y significativa|Positiva y significativa|Positiva y significativa|||||||10.2|36.7|53.1|2.1|14.6|83.3|Rbd y curso rinde Simce
2016|20171024|final20171024v1|2m|72|8|LICEO  VALLE DE CODPA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15102|CAMARONES|ARICA|Municipal DAEM|Municipal|Bajo|Rural|4|4|4|214|204|228|||||||No significativa|No significativa|No significativa|No significativa|No significativa|No significativa||||Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|||||||Rbd y curso rinde Simce
