agno|codigo_bbdd|fecha_bbdd|grado|cod_reg|nom_reg|prom_lect2m_reg|prom_mate2m_reg|prom_nat2m_reg|dif_lect2m_reg|dif_mate2m_reg|dif_nat2m_reg|sigdif_lect2m_reg|sigdif_mate2m_reg|sigdif_nat2m_reg
2016|final20171024v1|20171024|2m|1|REGIÓN DE TARAPACÁ|241|258|234|-1|5|-6|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|2m|2|REGIÓN DE ANTOFAGASTA|246|259|237|3|5|-10|No significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|3|REGIÓN DE ATACAMA|238|245|231|2|4|-11|No significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|4|REGIÓN DE COQUIMBO|249|264|242|0|4|-7|No significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|5|REGIÓN DE VALPARAÍSO|248|266|241|1|3|-8|No significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|6|REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS|250|265|243|0|6|-5|No significativa|Positiva y significativa|No significativa
2016|final20171024v1|20171024|2m|7|REGIÓN DEL MAULE|249|264|241|-1|1|-5|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|2m|8|REGIÓN DEL BIOBÍO|245|262|239|0|4|-11|No significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|9|REGIÓN DE LA ARAUCANÍA|245|253|237|2|7|-5|No significativa|Positiva y significativa|No significativa
2016|final20171024v1|20171024|2m|10|REGIÓN DE LOS LAGOS|243|260|236|-4|5|-9|No significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|11|REGIÓN DE AISÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO|244|262|239|-1|-1|-11|No significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|12|REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA|242|259|238|1|5|-14|No significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|13|REGIÓN METROPOLITANA|248|273|247|0|3|-6|No significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|14|REGIÓN DE LOS RÍOS|250|255|237|-2|0|-6|No significativa|No significativa|Negativa y significativa
2016|final20171024v1|20171024|2m|15|REGIÓN ARICA - PARINACOTA|243|262|237|-5|2|-4|No significativa|No significativa|No significativa
