agno|grado|cod_reg|nom_reg|cod_pro|nom_pro|cod_com|nom_com|cod_deprov|nom_deprov|prom_lect2m_com|prom_mate2m_com|dif_lect2m_com|dif_mate2m_com|sigdif_lect2m_com|sigdif_mate2m_com|fecha_bbdd|codigo_bbdd
2022|2m|1|Región de Tarapacá|11|Iquique|1101|Iquique|11|Iquique|237|244|-15|-19|-1|-1|20220927|final20220927v1
2022|2m|1|Región de Tarapacá|11|Iquique|1107|Alto Hospicio|11|Iquique|239|245|-5|-8|0|-1|20220927|final20220927v1
2022|2m|1|Región de Tarapacá|14|Tamarugal|1401|Pozo Almonte|14|Tamarugal|238|240|1|1|0|0|20220927|final20220927v1
2022|2m|1|Región de Tarapacá|14|Tamarugal|1402|Camiña|14|Tamarugal|246|255|25|25|1|0|20220927|final20220927v1
2022|2m|1|Región de Tarapacá|14|Tamarugal|1403|Colchane|14|Tamarugal|200|193|-14|-20|0|0|20220927|final20220927v1
2022|2m|1|Región de Tarapacá|14|Tamarugal|1404|Huara|14|Tamarugal|234|227|14|30|0|1|20220927|final20220927v1
2022|2m|1|Región de Tarapacá|14|Tamarugal|1405|Pica|14|Tamarugal|244|253|16|25|1|1|20220927|final20220927v1
2022|2m|2|Región de Antofagasta|21|Antofagasta|2101|Antofagasta|21|Antofagasta|242|247|-7|-11|-1|-1|20220927|final20220927v1
2022|2m|2|Región de Antofagasta|21|Antofagasta|2102|Mejillones|21|Antofagasta|214|211|-6|4|0|0|20220927|final20220927v1
2022|2m|2|Región de Antofagasta|21|Antofagasta|2103|Sierra Gorda|21|Antofagasta|195|222|-24|12|0|0|20220927|final20220927v1
2022|2m|2|Región de Antofagasta|21|Antofagasta|2104|Taltal|21|Antofagasta|236|232|8|6|0|0|20220927|final20220927v1
2022|2m|2|Región de Antofagasta|22|El Loa|2201|Calama|22|El Loa|247|252|-4|-12|0|-1|20220927|final20220927v1
2022|2m|2|Región de Antofagasta|22|El Loa|2202|Ollagüe|22|El Loa|281|0|0|0|0|0|20220927|final20220927v1
2022|2m|2|Región de Antofagasta|22|El Loa|2203|San Pedro de Atacama|22|El Loa|238|234|-9|-45|0|-1|20220927|final20220927v1
2022|2m|2|Región de Antofagasta|23|Tocopilla|2301|Tocopilla|21|Antofagasta|229|223|-8|-7|0|0|20220927|final20220927v1
2022|2m|2|Región de Antofagasta|23|Tocopilla|2302|María Elena|21|Antofagasta|223|230|-10|-10|0|0|20220927|final20220927v1
2022|2m|3|Región de Atacama|31|Copiapó|3101|Copiapó|31|Copiapo - Chanaral|240|237|-2|-18|0|-1|20220927|final20220927v1
2022|2m|3|Región de Atacama|31|Copiapó|3102|Caldera|31|Copiapo - Chanaral|230|239|-5|12|0|0|20220927|final20220927v1
2022|2m|3|Región de Atacama|31|Copiapó|3103|Tierra Amarilla|31|Copiapo - Chanaral|206|195|6|2|0|0|20220927|final20220927v1
2022|2m|3|Región de Atacama|32|Chañaral|3201|Chañaral|31|Copiapo - Chanaral|226|211|-1|-12|0|0|20220927|final20220927v1
2022|2m|3|Región de Atacama|32|Chañaral|3202|Diego de Almagro|31|Copiapo - Chanaral|245|236|-1|-13|0|-1|20220927|final20220927v1
2022|2m|3|Región de Atacama|33|Huasco|3301|Vallenar|32|Huasco - Vallenar|239|244|-6|-9|0|-1|20220927|final20220927v1
2022|2m|3|Región de Atacama|33|Huasco|3302|Alto del Carmen|32|Huasco - Vallenar|227|239|-9|24|0|1|20220927|final20220927v1
2022|2m|3|Región de Atacama|33|Huasco|3303|Freirina|32|Huasco - Vallenar|200|210|-20|4|-1|0|20220927|final20220927v1
2022|2m|3|Región de Atacama|33|Huasco|3304|Huasco|32|Huasco - Vallenar|243|260|3|23|0|1|20220927|final20220927v1
2022|2m|4|Región de Coquimbo|41|Elqui|4101|La Serena|41|Elqui|248|256|-5|-14|0|-1|20220927|final20220927v1
2022|2m|4|Región de Coquimbo|41|Elqui|4102|Coquimbo|41|Elqui|246|249|-6|-15|0|-1|20220927|final20220927v1
2022|2m|4|Región de Coquimbo|41|Elqui|4103|Andacollo|41|Elqui|246|252|2|-3|0|0|20220927|final20220927v1
2022|2m|4|Región de Coquimbo|41|Elqui|4104|La Higuera|41|Elqui|216|213|7|38|0|1|20220927|final20220927v1
2022|2m|4|Región de Coquimbo|41|Elqui|4105|Paihuano|41|Elqui|232|227|-6|10|0|0|20220927|final20220927v1
2022|2m|4|Región de Coquimbo|41|Elqui|4106|Vicuña|41|Elqui|236|237|-3|-7|0|0|20220927|final20220927v1
2022|2m|4|Región de Coquimbo|43|Limarí|4303|Monte Patria|42|Limari|215|227|-21|-6|-1|0|20220927|final20220927v1
2022|2m|4|Región de Coquimbo|43|Limarí|4304|Punitaqui|42|Limari|241|242|-14|-18|-1|-1|20220927|final20220927v1
2022|2m|4|Región de Coquimbo|43|Limarí|4305|Río Hurtado|42|Limari|231|228|-13|-13|0|0|20220927|final20220927v1
2022|2m|4|Región de Coquimbo|42|Choapa|4201|Illapel|43|Choapa|230|228|-6|-5|0|0|20220927|final20220927v1
