agno|grado|cod_reg|nom_reg|cod_deprov|nom_deprov|prom_lect2m_deprov|prom_mate2m_deprov|dif_lect2m_deprov|dif_mate2m_deprov|sigdif_lect2m_deprov|sigdif_mate2m_deprov|fecha_bbdd|codigo_bbdd
2022|2m|1|Región de Tarapacá|11|Iquique|238|244|-11|-16|-1|-1|20220927|final20220927v1
2022|2m|1|Región de Tarapacá|14|Tamarugal|238|241|7|9|0|0|20220927|final20220927v1
2022|2m|2|Región de Antofagasta|21|Antofagasta|240|243|-6|-10|-1|-1|20220927|final20220927v1
2022|2m|2|Región de Antofagasta|22|El Loa|247|251|-4|-14|0|-1|20220927|final20220927v1
2022|2m|3|Región de Atacama|31|Copiapo - Chanaral|237|234|-2|-14|0|-1|20220927|final20220927v1
2022|2m|3|Región de Atacama|32|Huasco - Vallenar|236|242|-6|-5|0|0|20220927|final20220927v1
2022|2m|4|Región de Coquimbo|41|Elqui|247|252|-4|-14|0|-1|20220927|final20220927v1
2022|2m|4|Región de Coquimbo|42|Limari|240|246|-10|-14|-1|-1|20220927|final20220927v1
2022|2m|4|Región de Coquimbo|43|Choapa|229|232|-12|-9|-1|-1|20220927|final20220927v1
2022|2m|5|Región de Valparaíso|51|Quillota - Petorca|237|241|-7|-14|-1|-1|20220927|final20220927v1
2022|2m|5|Región de Valparaíso|52|San Felipe - Los Andes|242|246|-10|-13|-1|-1|20220927|final20220927v1
2022|2m|5|Región de Valparaíso|53|Valparaiso - Isla de Pascua|244|252|-7|-16|-1|-1|20220927|final20220927v1
2022|2m|5|Región de Valparaíso|54|San Antonio|242|242|-6|-9|0|-1|20220927|final20220927v1
2022|2m|6|Región del Libertador Bernardo O'higgins|61|Cachapoal|240|248|-8|-16|-1|-1|20220927|final20220927v1
2022|2m|6|Región del Libertador Bernardo O'higgins|62|Colchagua|241|246|-8|-13|-1|-1|20220927|final20220927v1
2022|2m|6|Región del Libertador Bernardo O'higgins|63|Cardenal Caro|232|239|-10|-6|-1|0|20220927|final20220927v1
2022|2m|7|Región del Maule|71|Curico|246|255|-7|-12|-1|-1|20220927|final20220927v1
2022|2m|7|Región del Maule|72|Talca|245|250|-2|-10|0|-1|20220927|final20220927v1
2022|2m|7|Región del Maule|73|Linares|242|251|-6|-14|0|-1|20220927|final20220927v1
2022|2m|7|Región del Maule|74|Cauquenes|232|234|-8|-7|-1|0|20220927|final20220927v1
2022|2m|8|Región del Biobío|82|Bio Bio|237|246|-10|-14|-1|-1|20220927|final20220927v1
2022|2m|8|Región del Biobío|83|Concepcion|243|252|-7|-18|-1|-1|20220927|final20220927v1
2022|2m|8|Región del Biobío|84|Arauco|239|243|-4|-12|0|-1|20220927|final20220927v1
2022|2m|9|Región de La Araucanía|91|Malleco|231|234|-11|-12|-1|-1|20220927|final20220927v1
2022|2m|9|Región de La Araucanía|92|Cautin Norte|240|245|-9|-14|-1|-1|20220927|final20220927v1
2022|2m|9|Región de La Araucanía|93|Cautin Sur|242|242|-5|-7|0|-1|20220927|final20220927v1
2022|2m|10|Región de Los Lagos|101|Llanquihue|243|250|-5|-10|0|-1|20220927|final20220927v1
2022|2m|10|Región de Los Lagos|102|Chiloe|239|240|-7|-11|-1|-1|20220927|final20220927v1
2022|2m|10|Región de Los Lagos|103|Osorno|244|251|-10|-16|-1|-1|20220927|final20220927v1
2022|2m|10|Región de Los Lagos|104|Palena|220|227|-15|-20|-1|-1|20220927|final20220927v1
2022|2m|11|Región de Aysén del General Carlos Ibañe|111|Coyhaique|242|248|-3|-15|0|-1|20220927|final20220927v1
2022|2m|12|Región de Magallanes y de la Antártica C|121|Magallanes|247|250|-5|-12|0|-1|20220927|final20220927v1
2022|2m|13|Región metropolitana de santiago|131|Centro|246|253|-2|-13|0|-1|20220927|final20220927v1
2022|2m|13|Región metropolitana de santiago|132|Sur|239|247|-4|-8|0|-1|20220927|final20220927v1
2022|2m|13|Región metropolitana de santiago|133|Oriente|263|291|1|-8|0|-1|20220927|final20220927v1
2022|2m|13|Región metropolitana de santiago|134|Poniente|240|250|-6|-13|0|-1|20220927|final20220927v1
2022|2m|13|Región metropolitana de santiago|135|Talagante|240|245|-3|-7|0|-1|20220927|final20220927v1
2022|2m|13|Región metropolitana de santiago|136|Cordillera|243|254|-7|-13|-1|-1|20220927|final20220927v1
2022|2m|13|Región metropolitana de santiago|137|Norte|244|257|-4|-8|0|-1|20220927|final20220927v1
2022|2m|14|Región de los ríos|141|Valdivia|245|246|-5|-6|0|-1|20220927|final20220927v1
2022|2m|14|Región de los ríos|142|Ranco|245|242|-5|-18|0|-1|20220927|final20220927v1
2022|2m|15|Región de arica y parinacota|151|Arica|246|255|-3|-10|0|-1|20220927|final20220927v1
2022|2m|15|Región de arica y parinacota|152|Parinacota|229|194|-9|-35|0|-1|20220927|final20220927v1
2022|2m|16|Región de Ñuble|161|Diguillín|238|251|-10|-9|-1|-1|20220927|final20220927v1
