agno|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|cod_deprov_rbd|nom_deprov_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect2m_rbd|nalu_mate2m_rbd|prom_lect2m_rbd|prom_mate2m_rbd|dif_lect2m_rbd|dif_mate2m_rbd|difgru_lect2m_rbd|difgru_mate2m_rbd|sigdif_lect2m_rbd|sigdif_mate2m_rbd|siggru_lect2m_rbd|siggru_mate2m_rbd|marca_lect2m_rbd|marca_mate2m_rbd|marcadif_lect2m_rbd|marcadif_mate2m_rbd|palu_eda_ins_lect2m_rbd|palu_eda_ele_lect2m_rbd|palu_eda_ade_lect2m_rbd|palu_eda_ins_mate2m_rbd|palu_eda_ele_mate2m_rbd|palu_eda_ade_mate2m_rbd|noaplica|fecha_bbdd|codigo_bbdd
2022|2m|1|9|LICEO POLITECNICO ARICA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|151|Arica|6|4|1|1|88|81|218|242|13|37|-4|18|0|1|0|1|||||70.5|23.9|5.7|63|33.3|3.7|0|20231017|final20231017v2
2022|2m|10023|4|LICEO ALBERTO HURTADO|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13126|QUINTA NORMAL|134|Poniente|3|2|3|1|71|69|230|232|-23|-14|-21|-26|-1|0|-1|-1|||||67.6|22.5|9.9|68.1|26.1|5.8|0|20231017|final20231017v2
2022|2m|10030|7|LICEO POLIV.SAN JOSE DE LA PRECIOSA SANG|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13126|QUINTA NORMAL|134|Poniente|3|2|3|1|119|121|254|271|-1|-21|3|13|0|-1|0|1|||||48.7|30.3|21|40.5|37.2|22.3|0|20231017|final20231017v2
2022|2m|10042|0|COLEGIO BICENTENARIO ELVIRA HURTADO DE MATTE DE SANTIAGO|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13126|QUINTA NORMAL|134|Poniente|3|2|3|1|88|87|250|286|-19|-42|-1|28|-1|-1|0|1|||||46.6|30.7|22.7|35.6|31|33.3|0|20231017|final20231017v2
2022|2m|10044|7|CENTRO EDUCACIONAL ALBERTO HURTADO|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13126|QUINTA NORMAL|134|Poniente|3|2|2|1|168|170|221|227|1|-1|-13|-11|0|0|-1|-1|||||69|22|8.9|72.9|24.7|2.4|0|20231017|final20231017v2
2022|2m|10052|8|LICEO POLITECNICO SAN FRANCISCO SOLANO|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13103|CERRO NAVIA|134|Poniente|3|2|1|1|57|61|207|218|17|17|-15|-6|1|0|-1|0|||||82.5|15.8|1.8|77|19.7|3.3|0|20231017|final20231017v2
2022|2m|10058|7|COLEGIO POLIVALENTE PRINCIPE DE GALES|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13106|ESTACIÓN CENTRAL|134|Poniente|3|2|3|1|82|82|219|225|-22|2|-32|-33|-1|0|-1|-1|||||75.6|18.3|6.1|74.4|23.2|2.4|0|20231017|final20231017v2
2022|2m|10069|2|COLEGIO MARQUEL|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13126|QUINTA NORMAL|134|Poniente|3|2|3|1|60|57|261|266|-7|-36|10|8|0|-1|1|0|||||38.3|40|21.7|43.9|36.8|19.3|0|20231017|final20231017v2
2022|2m|10073|0|LICEO BICENTENARIO INDUSTRIAL VICENTE PEREZ ROSALES|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13126|QUINTA NORMAL|134|Poniente|5|2|2|1|121|130|211|249|-5|8|-23|11|0|0|-1|1|||||77.7|15.7|6.6|51.5|37.7|10.8|0|20231017|final20231017v2
2022|2m|10075|7|LICEO POLIVALENTE LOS HEROES DE LA CONCEPCIÓN|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13103|CERRO NAVIA|134|Poniente|6|4|1|1|47|48|231|204|0|1|9|-20|0|0|1|-1|||3||66|27.7|6.4|89.6|10.4|0|0|20231017|final20231017v2
2022|2m|10076|5|COMPLEJO EDUCACIONAL PEDRO PRADO|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13117|LO PRADO|134|Poniente|6|4|1|1|116|120|228|216|25|13|6|-8|1|0|1|-1|||||67.2|25|7.8|80|17.5|2.5|0|20231017|final20231017v2
2022|2m|10077|3|LICEO MUN. CENTRO EDUCACIONAL PUDAHUEL|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13124|PUDAHUEL|134|Poniente|6|4|1|1|93|96|219|218|0|0|-3|-6|0|0|0|0|||3|3|67.7|25.8|6.5|77.1|21.9|1|0|20231017|final20231017v2
2022|2m|10091|9|ESCUELA PROFESORA GLADYS VALENZUELA V|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13117|LO PRADO|134|Poniente|6|4|2|1|44|45|218|208|13|-16|-16|-30|0|0|-1|-1|||||72.7|20.5|6.8|86.7|11.1|2.2|0|20231017|final20231017v2
2022|2m|10106|0|LICEO BICENTENARIO POETA PABLO NERUDA|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13117|LO PRADO|134|Poniente|6|4|2|1|26|29|247|234|-16|-14|13|-4|0|0|1|0|||||53.8|34.6|11.5|58.6|37.9|3.4|0|20231017|final20231017v2
